Sw H+ Iono H	South to North	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
2.45E-07	-0.470853882	-1.00E-07	-0.407718003
2.76E-07	-0.470855377	-1.36E-07	-0.407718574
-2.21E-07	-0.470855813	9.72E-08	-0.407718951
-2.28E-07	-0.470857107	4.11E-08	-0.407719071
1.72E-07	-0.470857525	6.58E-08	-0.407719331
2.61E-07	-0.470858752	-4.56E-08	-0.407719518
-2.11E-07	-0.470859155	-3.31E-07	-0.407720481
-2.32E-07	-0.470860425	2.74E-07	-0.407721224
1.78E-07	-0.470860836	2.83E-07	-0.407722552
2.24E-07	-0.47086198	-2.21E-07	-0.407723254
-1.73E-07	-0.470862366	-2.65E-07	-0.40772442
-1.95E-07	-0.47086342	2.08E-07	-0.407725071
1.44E-07	-0.470863793	2.25E-07	-0.407726104
6.31E-08	-0.470864047	-1.68E-07	-0.407726695
2.63E-08	-0.470864163	-1.87E-07	-0.407727542
4.60E-08	-0.470864366	1.42E-07	-0.407728019
-3.16E-08	-0.470864466	4.30E-07	-0.407729448
6.28E-08	-0.470864741	-3.52E-07	-0.407730432
-4.38E-08	-0.470864875	-3.73E-07	-0.407732161
-7.01E-08	-0.470865196	3.04E-07	-0.40773302
4.86E-08	-0.470865346	3.14E-07	-0.407734493
2.00E-08	-0.470865436	-2.42E-07	-0.407735288
3.52E-08	-0.470865591	-2.47E-07	-0.407736451
-2.40E-08	-0.470865668	1.93E-07	-0.407737057
-9.74E-09	-0.470865713	4.35E-07	-0.407738608
-1.81E-08	-0.470865791	-3.54E-07	-0.407739614
1.22E-08	-0.470865831	-3.80E-07	-0.407741365
2.27E-08	-0.470865929	3.09E-07	-0.407742248
-1.53E-08	-0.47086598	3.10E-07	-0.40774372
-6.19E-09	-0.470866009	-2.37E-07	-0.407744513
-1.19E-08	-0.470866059	-2.46E-07	-0.407745664
7.96E-09	-0.470866086	1.92E-07	-0.407746275
3.46E-07	-0.470867016	2.30E-07	-0.407747288
-2.89E-07	-0.47086749	-1.81E-07	-0.407747854
-2.94E-07	-0.470869169	-1.96E-07	-0.407748753
2.31E-07	-0.470869659	1.46E-07	-0.407749269
2.72E-07	-0.470871099	2.61E-07	-0.407750265
-2.15E-07	-0.470871546	-2.11E-07	-0.407750875
-2.29E-07	-0.470872823	-3.42E-07	-0.407752222
1.72E-07	-0.470873251	2.76E-07	-0.407753024
7.62E-08	-0.470873552	3.02E-07	-0.407754405
1.06E-07	-0.470874068	-2.44E-07	-0.407755115
-7.50E-08	-0.470874285	-2.48E-07	-0.407756285
-3.16E-08	-0.470874422	1.88E-07	-0.407756922
-1.29E-08	-0.470874481	8.50E-08	-0.407757142
-5.20E-09	-0.470874505	1.12E-07	-0.407757619
-1.01E-08	-0.470874548	-8.06E-08	-0.407757928
6.75E-09	-0.470874571	-1.16E-07	-0.407758404
2.71E-09	-0.470874583	8.19E-08	-0.407758728
1.09E-09	-0.470874588	3.43E-08	-0.40775883
-2.17E-09	-0.470874598	5.68E-08	-0.407759052
-3.46E-07	-0.470875498	-3.91E-08	-0.407759214
2.89E-07	-0.470875969	-1.60E-08	-0.407759264
2.94E-07	-0.47087765	-3.54E-07	-0.407760225
-2.31E-07	-0.470878137	2.83E-07	-0.407761068
-2.71E-07	-0.470879575	1.37E-07	-0.407761381
2.14E-07	-0.47088002	6.04E-08	-0.407761545
3.16E-07	-0.470881522	9.13E-08	-0.407761914
-2.45E-07	-0.470882063	-6.49E-08	-0.407762167
-2.61E-07	-0.470883519	1.25E-07	-0.407762684
2.08E-07	-0.470883934	-9.19E-08	-0.407763021
2.35E-07	-0.470885207	-1.22E-07	-0.407763538
-1.88E-07	-0.470885579	8.77E-08	-0.407763875
-2.43E-07	-0.470886807	2.98E-07	-0.407764843
1.88E-07	-0.470887226	-2.44E-07	-0.407765523
2.11E-07	-0.470888371	-2.58E-07	-0.40776672
-1.56E-07	-0.470888774	2.00E-07	-0.407767366
-6.85E-08	-0.47088905	2.44E-07	-0.407768431
-2.85E-08	-0.470889176	-1.90E-07	-0.407769034
5.66E-08	-0.470889426	-3.18E-07	-0.407770273
3.70E-07	-0.470890246	2.47E-07	-0.407771062
-3.13E-07	-0.470890726	2.54E-07	-0.407772257
-3.13E-07	-0.47089253	-2.03E-07	-0.407772867
2.48E-07	-0.470893035	-3.85E-07	-0.407774309
2.84E-07	-0.470894563	3.31E-07	-0.407775108
-2.26E-07	-0.470895018	1.66E-07	-0.407775462
-3.06E-07	-0.470896532	3.48E-07	-0.407776728
2.37E-07	-0.470897059	-2.83E-07	-0.407777536
1.10E-07	-0.470897461	-3.05E-07	-0.407778942
1.37E-07	-0.470898165	2.48E-07	-0.407779652
-9.93E-08	-0.470898438	2.49E-07	-0.407780835
-4.26E-08	-0.470898616	-1.90E-07	-0.407781473
-6.51E-08	-0.470898921	-2.53E-07	-0.407782541
4.54E-08	-0.470899058	2.03E-07	-0.407783139
7.24E-08	-0.470899391	3.56E-07	-0.407784504
-5.02E-08	-0.470899546	-2.88E-07	-0.407785336
-2.07E-08	-0.470899639	-3.14E-07	-0.407786773
-3.63E-08	-0.470899799	2.54E-07	-0.407787508
2.47E-08	-0.470899879	2.57E-07	-0.407788722
1.01E-08	-0.470899925	-1.95E-07	-0.407789381
1.86E-08	-0.470900005	-2.05E-07	-0.407790335
-1.26E-08	-0.470900047	1.59E-07	-0.407790845
-2.34E-08	-0.470900148	1.93E-07	-0.40779169
1.58E-08	-0.4709002	-1.44E-07	-0.407792195
6.37E-09	-0.470900229	2.50E-07	-0.407793312
1.22E-08	-0.470900281	-1.95E-07	-0.407793932
-8.20E-09	-0.470900309	-2.14E-07	-0.40779491
-1.54E-08	-0.470900375	1.59E-07	-0.407795476
-3.62E-07	-0.470901281	7.01E-08	-0.407795667
2.91E-07	-0.470901841	3.38E-07	-0.407796701
2.97E-07	-0.470903537	-2.68E-07	-0.407797518
-2.25E-07	-0.470904075	-1.28E-07	-0.407797817
-2.38E-07	-0.470905408	-2.72E-07	-0.407798803
1.85E-07	-0.470905819	2.13E-07	-0.407799474
2.25E-07	-0.47090699	2.32E-07	-0.407800537
-1.76E-07	-0.470907371	-1.73E-07	-0.407801148
-1.93E-07	-0.47090843	-1.93E-07	-0.407802025
1.44E-07	-0.470908795	1.47E-07	-0.40780252
2.67E-07	-0.470909948	1.88E-07	-0.407803328
-2.17E-07	-0.470910353	-1.45E-07	-0.407803803
-2.35E-07	-0.470911651	-2.83E-07	-0.407804853
1.81E-07	-0.470912064	2.21E-07	-0.407805551
2.26E-07	-0.470913224	3.66E-07	-0.407806982
-1.75E-07	-0.470913611	-2.85E-07	-0.407807891
-1.95E-07	-0.470914674	-2.85E-07	-0.407809248
1.45E-07	-0.470915046	2.26E-07	-0.407809935
6.35E-08	-0.470915302	2.59E-07	-0.407811098
2.65E-08	-0.470915419	-2.06E-07	-0.407811719
4.62E-08	-0.470915623	-2.77E-07	-0.407812886
-3.18E-08	-0.470915723	2.15E-07	-0.407813581
6.32E-08	-0.470916	9.94E-08	-0.407813828
-4.41E-08	-0.470916134	1.24E-07	-0.407814365
-7.03E-08	-0.470916457	-8.99E-08	-0.407814703
4.87E-08	-0.470916607	-1.25E-07	-0.407815221
2.01E-08	-0.470916698	8.85E-08	-0.407815567
8.13E-09	-0.470916735	3.73E-08	-0.407815676
-1.63E-08	-0.470916804	6.04E-08	-0.407815914
-3.35E-07	-0.470917639	-4.17E-08	-0.407816086
2.81E-07	-0.470918089	-3.23E-07	-0.40781702
3.18E-07	-0.470919806	2.67E-07	-0.407817742
-2.54E-07	-0.470920308	2.76E-07	-0.407819037
-2.85E-07	-0.470921855	-2.15E-07	-0.407819721
2.28E-07	-0.470922304	-2.58E-07	-0.407820857
2.36E-07	-0.47092364	2.02E-07	-0.407821489
-1.78E-07	-0.47092407	2.19E-07	-0.407822495
-7.99E-08	-0.470924379	-1.63E-07	-0.40782307
-1.08E-07	-0.470924913	-7.22E-08	-0.407823265
7.68E-08	-0.470925132	-1.01E-07	-0.407823684
1.12E-07	-0.470925667	7.16E-08	-0.407823964
-7.88E-08	-0.4709259	3.01E-08	-0.407824053
-3.29E-08	-0.470926045	4.91E-08	-0.407824246
-1.34E-08	-0.470926106	-3.39E-08	-0.407824385
2.68E-08	-0.470926221	-5.66E-08	-0.407824606
3.77E-07	-0.470927137	3.89E-08	-0.407824768
-3.16E-07	-0.470927638	3.62E-07	-0.407825798
-3.19E-07	-0.470929469	-3.00E-07	-0.407826605
2.52E-07	-0.470929991	-3.79E-07	-0.40782824
2.92E-07	-0.470931549	3.04E-07	-0.407829139
-2.32E-07	-0.470932023	3.39E-07	-0.407830677
-3.30E-07	-0.470933616	-2.72E-07	-0.40783148
2.56E-07	-0.470934182	-2.79E-07	-0.407832792
2.57E-07	-0.470935661	2.11E-07	-0.407833512
-2.03E-07	-0.470936079	2.24E-07	-0.407834551
-4.18E-07	-0.470937815	-1.74E-07	-0.407835114
3.40E-07	-0.470938443	-4.55E-07	-0.407836676
3.67E-07	-0.470940474	3.71E-07	-0.407837722
-2.97E-07	-0.470941028	3.96E-07	-0.407839553
-3.00E-07	-0.47094275	-3.22E-07	-0.407840469
2.29E-07	-0.470943285	-1.61E-07	-0.407840815
2.38E-07	-0.470944628	-1.73E-07	-0.407841611
-1.85E-07	-0.470945033	1.29E-07	-0.407842064
-2.23E-07	-0.470946201	1.61E-07	-0.407842761
1.75E-07	-0.470946575	-1.17E-07	-0.407843199
1.90E-07	-0.470947624	-5.00E-08	-0.407843342
-1.42E-07	-0.470947981	-7.65E-08	-0.407843649
-6.26E-08	-0.47094823	5.34E-08	-0.407843865
-2.62E-08	-0.470948345	3.08E-07	-0.407844785
-1.06E-08	-0.470948394	-2.54E-07	-0.407845479
-4.27E-09	-0.470948414	-2.64E-07	-0.407846715
8.54E-09	-0.47094845	2.06E-07	-0.407847372
3.82E-07	-0.470949427	2.48E-07	-0.407848461
-3.19E-07	-0.470949942	-1.94E-07	-0.407849071
-3.68E-07	-0.470951911	-3.10E-07	-0.407850298
2.95E-07	-0.470952492	2.41E-07	-0.40785107
3.30E-07	-0.470954285	1.12E-07	-0.407851346
-2.65E-07	-0.470954803	3.00E-07	-0.407852371
-2.73E-07	-0.470956351	-2.36E-07	-0.407853106
2.06E-07	-0.470956848	-2.54E-07	-0.407854276
2.20E-07	-0.470958074	1.90E-07	-0.407854942
-1.70E-07	-0.470958455	3.32E-07	-0.407856219
-2.09E-07	-0.470959539	-2.69E-07	-0.407856995
1.63E-07	-0.470959894	-2.93E-07	-0.407858339
7.22E-08	-0.47096018	2.37E-07	-0.407859025
1.07E-07	-0.470960688	2.70E-07	-0.40786024
-7.65E-08	-0.470960907	-2.09E-07	-0.407860921
1.47E-07	-0.470961595	-2.41E-07	-0.407861998
-1.08E-07	-0.470961878	1.93E-07	-0.407862573
-1.42E-07	-0.470962591	3.53E-07	-0.40786391
1.02E-07	-0.470962877	-2.86E-07	-0.407864733
4.33E-08	-0.470963061	-3.11E-07	-0.407866158
1.78E-08	-0.470963142	2.51E-07	-0.407866885
-3.55E-08	-0.470963295	2.54E-07	-0.407868088
-3.49E-07	-0.470964116	-1.93E-07	-0.407868739
2.94E-07	-0.470964576	-2.02E-07	-0.407869683
3.18E-07	-0.470966334	1.57E-07	-0.407870188
-2.54E-07	-0.470966838	1.90E-07	-0.407871023
-2.86E-07	-0.470968388	-1.42E-07	-0.407871522
2.29E-07	-0.47096884	2.46E-07	-0.407872626
2.37E-07	-0.470970181	-1.92E-07	-0.407873237
-1.79E-07	-0.470970614	-2.12E-07	-0.407874202
-1.91E-07	-0.470971678	1.57E-07	-0.407874761
1.48E-07	-0.470972011	1.77E-07	-0.407875562
1.82E-07	-0.470972954	-1.35E-07	-0.407876017
-1.36E-07	-0.470973297	-4.24E-07	-0.407877416
2.38E-07	-0.470974495	3.48E-07	-0.407878386
-1.85E-07	-0.470974903	3.68E-07	-0.407880093
-2.06E-07	-0.470976025	-3.00E-07	-0.40788094
1.53E-07	-0.470976417	-3.00E-07	-0.407882369
1.74E-07	-0.470977355	2.30E-07	-0.407883132
-1.32E-07	-0.47097767	2.87E-07	-0.407884375
-4.28E-07	-0.470979207	-2.30E-07	-0.407885056
3.51E-07	-0.47097983	-2.56E-07	-0.407886219
3.71E-07	-0.470981906	2.06E-07	-0.407886826
-3.03E-07	-0.470982453	2.54E-07	-0.407887932
-3.03E-07	-0.4709842	-1.97E-07	-0.407888571
2.32E-07	-0.470984734	-2.22E-07	-0.407889573
2.39E-07	-0.470986091	1.64E-07	-0.407890162
-1.87E-07	-0.470986491	1.89E-07	-0.407891007
-2.22E-07	-0.470987659	-1.43E-07	-0.407891494
1.75E-07	-0.470988026	-1.86E-07	-0.407892285
7.82E-08	-0.470988329	1.42E-07	-0.407892757
1.13E-07	-0.470988873	1.65E-07	-0.407893493
-8.13E-08	-0.470989102	-1.21E-07	-0.407893933
1.55E-07	-0.470989834	-5.27E-08	-0.407894079
-1.15E-07	-0.470990128	-7.70E-08	-0.407894394
-1.47E-07	-0.470990875	5.42E-08	-0.407894609
1.06E-07	-0.47099117	8.37E-08	-0.407894945
3.13E-07	-0.470992323	-5.83E-08	-0.407895181
-2.56E-07	-0.470992782	-2.42E-08	-0.407895254
-2.72E-07	-0.470994301	-9.80E-09	-0.407895285
2.22E-07	-0.470994704	1.96E-08	-0.407895359
2.22E-07	-0.470995983	3.47E-07	-0.407896217
-1.70E-07	-0.470996376	-2.91E-07	-0.407896975
-1.97E-07	-0.470997427	-3.27E-07	-0.407898456
1.45E-07	-0.470997807	2.62E-07	-0.407899237
6.30E-08	-0.470998064	2.94E-07	-0.407900567
2.62E-08	-0.47099818	-2.35E-07	-0.407901267
-5.20E-08	-0.470998409	-2.43E-07	-0.407902407
-3.66E-07	-0.470999231	1.83E-07	-0.407903036
3.09E-07	-0.470999707	1.96E-07	-0.407903942
3.10E-07	-0.471001492	-1.51E-07	-0.407904436
-2.46E-07	-0.471001992	-4.04E-07	-0.407905819
-2.82E-07	-0.471003504	3.49E-07	-0.407906641
2.24E-07	-0.471003955	1.77E-07	-0.40790701
2.35E-07	-0.471005275	3.42E-07	-0.407908285
-1.76E-07	-0.471005707	-2.77E-07	-0.407909081
-2.80E-07	-0.471006996	-3.01E-07	-0.407910462
2.26E-07	-0.471007425	2.43E-07	-0.407911163
2.48E-07	-0.471008786	2.46E-07	-0.407912328
-2.00E-07	-0.471009166	-1.87E-07	-0.407912957
-2.33E-07	-0.471010406	-8.48E-08	-0.407913176
1.80E-07	-0.471010811	-2.93E-07	-0.407914125
2.04E-07	-0.471011911	2.31E-07	-0.407914839
-1.51E-07	-0.471012301	3.43E-07	-0.407916233
-6.59E-08	-0.471012569	-2.66E-07	-0.407917088
-3.45E-07	-0.471013679	-2.83E-07	-0.407918401
2.74E-07	-0.471014236	2.26E-07	-0.407919079
1.31E-07	-0.471014686	2.55E-07	-0.407920231
5.72E-08	-0.471014919	-2.04E-07	-0.40792084
8.81E-08	-0.47101533	-9.28E-08	-0.407921078
-6.23E-08	-0.471015512	-1.30E-07	-0.407921617
1.21E-07	-0.47101607	9.39E-08	-0.407921971
-8.82E-08	-0.471016308	-1.77E-07	-0.407922722
-3.71E-08	-0.47101647	1.33E-07	-0.407923183
7.33E-08	-0.471016797	1.63E-07	-0.407923895
3.91E-07	-0.471017629	-1.19E-07	-0.407924338
-3.31E-07	-0.471018129	-5.10E-08	-0.407924483
-3.31E-07	-0.471020041	-2.11E-08	-0.407924547
2.64E-07	-0.47102057	4.20E-08	-0.407924709
3.00E-07	-0.471022186	3.50E-07	-0.407925515
-2.39E-07	-0.471022662	-2.95E-07	-0.407926271
-2.48E-07	-0.471024066	-3.15E-07	-0.407927727
1.87E-07	-0.471024522	2.51E-07	-0.40792848
8.38E-08	-0.471024848	2.83E-07	-0.40792976
1.14E-07	-0.471025409	-2.27E-07	-0.407930436
-8.11E-08	-0.471025641	-2.34E-07	-0.407931535
-2.92E-07	-0.471026661	1.77E-07	-0.407932142
2.40E-07	-0.471027084	1.90E-07	-0.407933018
3.36E-07	-0.471028721	-1.46E-07	-0.407933495
-2.71E-07	-0.471029241	-1.81E-07	-0.407934282
-2.99E-07	-0.471030878	1.35E-07	-0.407934759
2.41E-07	-0.47103134	-2.36E-07	-0.40793581
2.46E-07	-0.471032742	1.83E-07	-0.407936399
-1.86E-07	-0.471033187	3.29E-07	-0.407937652
-1.97E-07	-0.471034291	-2.56E-07	-0.407938466
1.53E-07	-0.47103463	-2.56E-07	-0.407939687
1.87E-07	-0.471035599	2.04E-07	-0.407940303
-1.39E-07	-0.471035949	2.32E-07	-0.407941347
2.43E-07	-0.471037173	-1.85E-07	-0.407941902
-1.89E-07	-0.471037586	-8.40E-08	-0.407942118
-3.29E-07	-0.471039041	-1.18E-07	-0.407942608
2.56E-07	-0.471039597	8.53E-08	-0.40794293
2.56E-07	-0.471041075	-1.61E-07	-0.407943612
-2.04E-07	-0.471041486	1.21E-07	-0.407944032
-2.32E-07	-0.471042736	1.49E-07	-0.407944681
1.85E-07	-0.471043105	-1.08E-07	-0.407945086
8.39E-08	-0.471043423	-2.92E-07	-0.407946081
1.18E-07	-0.471043998	2.38E-07	-0.407946751
-8.53E-08	-0.471044234	2.54E-07	-0.407947925
1.61E-07	-0.471045002	-1.96E-07	-0.407948562
-1.21E-07	-0.471045302	-2.41E-07	-0.407949612
-3.30E-07	-0.471046547	1.88E-07	-0.40795021
2.60E-07	-0.471047093	3.22E-07	-0.407951454
1.23E-07	-0.471047526	-2.51E-07	-0.407952252
5.32E-08	-0.471047745	-2.51E-07	-0.407953445
8.35E-08	-0.471048131	1.99E-07	-0.407954048
-5.88E-08	-0.471048306	2.27E-07	-0.40795507
1.15E-07	-0.471048831	-1.81E-07	-0.407955614
-8.32E-08	-0.471049059	-8.21E-08	-0.407955826
-1.16E-07	-0.471049624	-1.16E-07	-0.407956305
8.21E-08	-0.471049862	8.35E-08	-0.407956621
3.23E-07	-0.471050965	-1.58E-07	-0.407957289
-2.65E-07	-0.47105143	1.18E-07	-0.407957702
-2.79E-07	-0.471052996	1.47E-07	-0.407958338
2.28E-07	-0.471053403	-1.06E-07	-0.407958736
1.07E-07	-0.471053786	-4.56E-08	-0.407958866
3.78E-07	-0.471055113	-3.15E-07	-0.407959788
-3.11E-07	-0.471055661	2.50E-07	-0.407960544
-3.27E-07	-0.471057497	2.62E-07	-0.407961767
2.68E-07	-0.471057978	-1.97E-07	-0.407962448
2.68E-07	-0.471059521	-3.13E-07	-0.407963689
-2.05E-07	-0.471059992	2.52E-07	-0.407964422
-9.40E-08	-0.471060343	2.77E-07	-0.407965687
-4.00E-08	-0.471060513	-2.23E-07	-0.407966337
-6.58E-08	-0.471060812	-1.03E-07	-0.407966595
4.58E-08	-0.471060951	-1.40E-07	-0.407967183
-9.04E-08	-0.471061357	1.02E-07	-0.407967563
6.44E-08	-0.471061542	-1.90E-07	-0.407968378
2.67E-08	-0.471061661	1.44E-07	-0.40796887
-5.31E-08	-0.471061894	1.74E-07	-0.407969632
-3.84E-07	-0.471062761	-1.27E-07	-0.407970101
3.24E-07	-0.47106326	-5.46E-08	-0.407970255
3.25E-07	-0.471065133	-3.48E-07	-0.407971282
-2.58E-07	-0.471065658	2.76E-07	-0.407972118
-2.96E-07	-0.471067244	1.33E-07	-0.407972426
2.35E-07	-0.471067718	1.53E-07	-0.407973111
2.46E-07	-0.471069104	-1.13E-07	-0.407973519
-1.85E-07	-0.471069557	-1.48E-07	-0.407974148
-2.94E-07	-0.471070911	1.06E-07	-0.407974553
2.38E-07	-0.471071362	4.51E-08	-0.407974684
3.96E-07	-0.471073148	7.10E-08	-0.407974966
-3.20E-07	-0.471073752	-4.93E-08	-0.407975167
-3.50E-07	-0.471075677	-2.04E-08	-0.407975229
2.83E-07	-0.471076212	-3.54E-08	-0.407975366
2.86E-07	-0.471077852	2.42E-08	-0.407975468
-2.18E-07	-0.471078367	4.27E-08	-0.407975631
-3.02E-07	-0.471079844	-2.91E-08	-0.407975754
2.43E-07	-0.471080311	-1.18E-08	-0.407975791
2.68E-07	-0.471081779	-2.20E-08	-0.407975874
-2.16E-07	-0.471082194	1.48E-08	-0.407975938
-9.90E-08	-0.471082563	5.98E-09	-0.407975957
-1.36E-07	-0.471083232	3.66E-07	-0.407976927
9.90E-08	-0.471083502	-2.93E-07	-0.407977795
-1.85E-07	-0.471084393	-1.43E-07	-0.407978118
1.39E-07	-0.471084732	-1.60E-07	-0.407978844
1.70E-07	-0.471085615	1.19E-07	-0.407979269
-1.23E-07	-0.471085949	1.53E-07	-0.407979924
-3.14E-07	-0.47108716	-1.10E-07	-0.407980343
2.56E-07	-0.471087624	-4.70E-08	-0.407980478
2.74E-07	-0.471089149	-7.32E-08	-0.40798077
-2.23E-07	-0.471089557	5.09E-08	-0.407980977
-1.03E-07	-0.471089933	2.11E-08	-0.407981041
-3.91E-07	-0.471091281	3.65E-08	-0.407981182
3.21E-07	-0.471091845	-2.49E-08	-0.407981287
3.37E-07	-0.47109374	-4.37E-08	-0.407981455
-2.76E-07	-0.471094234	2.98E-08	-0.407981581
-2.76E-07	-0.471095827	1.21E-08	-0.407981618
2.12E-07	-0.471096312	2.25E-08	-0.407981703
9.72E-08	-0.471096674	-1.52E-08	-0.407981768
4.14E-08	-0.47109685	-2.74E-08	-0.407981873
6.79E-08	-0.471097158	-3.78E-07	-0.40798279
-4.74E-08	-0.471097302	3.05E-07	-0.407983677
9.34E-08	-0.471097722	1.50E-07	-0.407984009
-6.66E-08	-0.471097913	1.65E-07	-0.407984762
-9.77E-08	-0.471098378	-1.23E-07	-0.407985199
6.87E-08	-0.471098582	-1.56E-07	-0.40798587
2.87E-08	-0.471098709	1.13E-07	-0.407986297
1.17E-08	-0.471098762	4.82E-08	-0.407986435
-2.33E-08	-0.471098862	7.45E-08	-0.407986733
-3.37E-07	-0.471099683	-5.19E-08	-0.407986944
2.83E-07	-0.471100131	-2.15E-08	-0.407987009
3.15E-07	-0.471101846	-3.71E-08	-0.407987152
-2.51E-07	-0.471102342	2.53E-08	-0.407987258
-2.83E-07	-0.471103875	4.43E-08	-0.407987429
2.26E-07	-0.47110432	-3.02E-08	-0.407987556
2.34E-07	-0.471105644	-1.23E-08	-0.407987595
-1.76E-07	-0.47110607	-2.28E-08	-0.407987681
-7.91E-08	-0.471106377	1.54E-08	-0.407987747
-3.34E-08	-0.471106522	6.21E-09	-0.407987766
-5.64E-08	-0.471106774	1.19E-08	-0.407987811
3.91E-08	-0.471106895	-7.96E-09	-0.407987845
-7.74E-08	-0.471107239	-3.15E-07	-0.407988687
5.46E-08	-0.471107399	2.63E-07	-0.407989383
2.25E-08	-0.471107501	3.14E-07	-0.407990767
-4.48E-08	-0.471107696	-2.51E-07	-0.407991513
-3.84E-07	-0.471108583	-2.81E-07	-0.407992788
3.23E-07	-0.471109086	2.25E-07	-0.407993455
3.25E-07	-0.471110955	2.32E-07	-0.407994545
-2.57E-07	-0.471111482	-1.75E-07	-0.407995144
-2.96E-07	-0.471113067	-7.88E-08	-0.407995351
2.35E-07	-0.471113544	-2.99E-07	-0.407996302
3.26E-07	-0.471115138	2.36E-07	-0.407997029
-2.53E-07	-0.471115698	3.45E-07	-0.407998439
-2.54E-07	-0.471117159	-2.68E-07	-0.4079993
2.01E-07	-0.471117573	-2.69E-07	-0.408000579
2.32E-07	-0.471118814	2.13E-07	-0.408001231
-1.84E-07	-0.471119189	2.45E-07	-0.40800233
-1.94E-07	-0.471120278	-1.95E-07	-0.408002921
1.46E-07	-0.471120636	-2.05E-07	-0.408003875
1.79E-07	-0.471121564	1.54E-07	-0.408004408
-1.30E-07	-0.471121917	1.89E-07	-0.408005231
-1.60E-07	-0.471122745	-1.37E-07	-0.408005742
1.19E-07	-0.471123044	-1.68E-07	-0.408006475
1.62E-07	-0.471123843	1.25E-07	-0.408006916
-1.22E-07	-0.471124137	1.70E-07	-0.40800763
-1.47E-07	-0.471124909	-1.28E-07	-0.408008069
1.08E-07	-0.471125198	-3.14E-07	-0.408009167
4.64E-08	-0.471125391	2.47E-07	-0.408009939
6.96E-08	-0.471125719	1.16E-07	-0.408010218
-4.87E-08	-0.471125865	5.03E-08	-0.40801036
-7.66E-08	-0.471126219	7.92E-08	-0.408010675
5.32E-08	-0.471126382	-5.57E-08	-0.408010897
2.20E-08	-0.471126481	1.09E-07	-0.408011338
3.82E-08	-0.47112665	-7.88E-08	-0.408011635
-2.61E-08	-0.471126734	-1.10E-07	-0.408012092
-3.21E-07	-0.471127655	7.81E-08	-0.408012397
2.66E-07	-0.471128099	3.28E-08	-0.408012494
3.31E-07	-0.471129804	5.35E-08	-0.408012705
-2.65E-07	-0.471130321	-3.69E-08	-0.408012857
-2.96E-07	-0.471131932	-6.17E-08	-0.408013098
2.37E-07	-0.471132393	4.24E-08	-0.408013274
2.94E-07	-0.471133911	1.74E-08	-0.408013328
-2.27E-07	-0.471134419	3.13E-08	-0.408013447
-1.05E-07	-0.471134805	-2.12E-08	-0.408013537
-4.48E-08	-0.471134994	-3.70E-08	-0.40801368
-7.28E-08	-0.471135326	-3.87E-07	-0.408014596
5.09E-08	-0.47113548	3.13E-07	-0.408015502
-1.00E-07	-0.471135931	1.54E-07	-0.408015842
7.16E-08	-0.471136134	6.84E-08	-0.408016026
2.98E-08	-0.471136266	1.01E-07	-0.408016437
-5.92E-08	-0.471136527	-7.21E-08	-0.408016715
-4.01E-07	-0.47113742	1.39E-07	-0.408017291
3.38E-07	-0.471137939	-1.02E-07	-0.40801766
3.39E-07	-0.471139893	-3.40E-07	-0.408018769
-2.69E-07	-0.47114044	2.68E-07	-0.408019597
-3.08E-07	-0.471142094	1.27E-07	-0.408019899
2.45E-07	-0.471142586	5.53E-08	-0.408020053
2.56E-07	-0.47114403	8.62E-08	-0.408020397
-1.93E-07	-0.471144501	-6.08E-08	-0.408020638
-2.09E-07	-0.471145656	1.19E-07	-0.40802112
1.61E-07	-0.471146021	-8.60E-08	-0.408021442
2.00E-07	-0.471147051	-3.61E-08	-0.408021549
-1.55E-07	-0.471147393	7.14E-08	-0.408021831
-2.77E-07	-0.471148608	4.01E-07	-0.408022692
2.16E-07	-0.471149077	-3.39E-07	-0.408023547
3.66E-07	-0.471150718	-3.43E-07	-0.408025173
-2.85E-07	-0.471151338	2.74E-07	-0.408025996
-2.85E-07	-0.471152985	3.10E-07	-0.408027394
2.27E-07	-0.471153443	-2.48E-07	-0.408028135
2.59E-07	-0.471154836	-2.57E-07	-0.408029339
-2.06E-07	-0.471155249	1.94E-07	-0.408030004
-2.15E-07	-0.471156462	2.98E-07	-0.408031199
1.62E-07	-0.471156856	-2.40E-07	-0.408031898
7.24E-08	-0.471157139	-4.04E-07	-0.40803347
9.84E-08	-0.471157625	3.27E-07	-0.408034415
-7.02E-08	-0.471157826	3.57E-07	-0.408036048
-1.03E-07	-0.471158316	-2.88E-07	-0.408036883
7.24E-08	-0.471158531	-3.32E-07	-0.408038369
3.02E-08	-0.471158664	2.56E-07	-0.408039203
5.06E-08	-0.471158892	2.59E-07	-0.408040431
-3.47E-08	-0.471159001	-2.04E-07	-0.408041065
-3.25E-07	-0.471159961	-2.39E-07	-0.408042128
2.69E-07	-0.471160414	1.89E-07	-0.408042708
2.78E-07	-0.47116199	2.01E-07	-0.408043639
-2.17E-07	-0.471162456	-1.50E-07	-0.408044164
-2.59E-07	-0.471163818	-6.69E-08	-0.408044343
2.03E-07	-0.471164246	-9.23E-08	-0.408044728
3.16E-07	-0.471165714	6.56E-08	-0.408044983
-2.46E-07	-0.471166252	9.73E-08	-0.408045379
-2.46E-07	-0.471167671	-6.83E-08	-0.408045651
