Sw H+ Iono H	South to North	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-2.67E-07	-0.469034549	-9.48E-08	-0.406011873
2.16E-07	-0.469034958	6.67E-08	-0.40601214
2.18E-07	-0.469036203	2.79E-08	-0.406012222
-1.66E-07	-0.469036596	4.65E-08	-0.406012402
-1.95E-07	-0.469037624	-3.20E-08	-0.406012536
1.43E-07	-0.469038006	-5.44E-08	-0.406012746
3.24E-07	-0.4690393	3.73E-08	-0.406012903
-2.64E-07	-0.469039791	1.52E-08	-0.40601295
-2.83E-07	-0.469041356	2.77E-08	-0.406013055
2.30E-07	-0.469041788	-1.88E-08	-0.406013135
1.07E-07	-0.469042174	-7.60E-09	-0.406013159
1.44E-07	-0.469042882	-1.44E-08	-0.406013213
-1.05E-07	-0.469043167	9.67E-09	-0.406013255
1.94E-07	-0.469044104	3.90E-09	-0.406013267
-1.47E-07	-0.469044459	1.56E-09	-0.406013272
-1.75E-07	-0.469045375	6.26E-10	-0.406013274
1.28E-07	-0.469045721	1.25E-09	-0.406013278
5.54E-08	-0.469045947	-8.31E-10	-0.406013282
2.29E-08	-0.469046049	-3.33E-10	-0.406013283
-4.56E-08	-0.469046247	-6.64E-10	-0.406013286
-3.47E-07	-0.469047037	4.43E-10	-0.406013288
2.93E-07	-0.469047499	1.77E-10	-0.406013288
3.09E-07	-0.469049223	3.54E-10	-0.406013289
-2.47E-07	-0.469049722	-2.36E-10	-0.406013291
-2.79E-07	-0.469051222	4.72E-10	-0.406013292
2.23E-07	-0.46905167	-3.15E-10	-0.406013294
2.31E-07	-0.469052969	-1.26E-10	-0.406013294
-1.74E-07	-0.469053396	-2.51E-10	-0.406013295
-7.80E-08	-0.469053696	1.68E-10	-0.406013296
-3.29E-08	-0.469053837	3.35E-10	-0.406013297
-5.57E-08	-0.469054085	3.58E-07	-0.406014232
3.85E-08	-0.469054206	-2.87E-07	-0.406015088
-7.63E-08	-0.469054543	-1.40E-07	-0.406015399
5.38E-08	-0.469054704	-6.17E-08	-0.406015564
8.23E-08	-0.469055087	-9.26E-08	-0.406015937
-5.75E-08	-0.469055263	6.59E-08	-0.406016195
-2.38E-08	-0.469055368	-1.27E-07	-0.406016718
-9.68E-09	-0.469055412	9.34E-08	-0.406017062
1.93E-08	-0.469055494	1.23E-07	-0.406017582
3.29E-07	-0.469056305	-8.85E-08	-0.406017924
-2.76E-07	-0.469056754	-2.93E-07	-0.406018879
-3.10E-07	-0.469058426	2.41E-07	-0.406019556
2.48E-07	-0.469058922	2.54E-07	-0.406020729
2.78E-07	-0.469060423	-1.97E-07	-0.406021371
-2.23E-07	-0.469060867	-2.40E-07	-0.406022415
-2.30E-07	-0.469062164	1.88E-07	-0.406023015
1.74E-07	-0.469062588	3.14E-07	-0.406024233
7.79E-08	-0.469062887	-2.44E-07	-0.40602502
3.00E-07	-0.469063915	-1.14E-07	-0.406025296
-2.37E-07	-0.469064411	-4.90E-08	-0.406025433
-2.52E-07	-0.46906581	-7.84E-08	-0.406025742
1.89E-07	-0.469066283	5.50E-08	-0.406025964
2.07E-07	-0.469067414	-1.08E-07	-0.406026396
-1.59E-07	-0.469067784	7.76E-08	-0.406026694
-1.99E-07	-0.469068801	1.10E-07	-0.406027147
1.54E-07	-0.46906915	-7.80E-08	-0.406027456
6.80E-08	-0.469069419	-3.27E-08	-0.406027552
1.02E-07	-0.469069899	-5.39E-08	-0.406027762
-7.28E-08	-0.469070111	3.71E-08	-0.406027917
1.41E-07	-0.469070763	3.12E-07	-0.406028812
-1.03E-07	-0.469071038	-2.59E-07	-0.406029518
-1.37E-07	-0.469071718	-3.30E-07	-0.406030927
9.80E-08	-0.469071998	2.64E-07	-0.406031717
4.16E-08	-0.469072175	2.94E-07	-0.406033046
3.53E-07	-0.469073229	-2.36E-07	-0.40603375
-2.81E-07	-0.469073801	-2.91E-07	-0.40603501
-1.35E-07	-0.469074256	2.25E-07	-0.406035747
-2.71E-07	-0.469075389	1.04E-07	-0.406036003
2.12E-07	-0.469075851	4.43E-08	-0.406036128
2.32E-07	-0.469077118	7.20E-08	-0.40603641
-1.72E-07	-0.46907756	-5.03E-08	-0.406036615
