Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-0.999986565	-1.661315739	0.999981039	-1.673221082
-0.999991343	-1.661320053	0.999988175	-1.673227587
-0.999994528	-1.661322929	0.999992933	-1.673231923
-0.999996651	-1.661324846	0.999996104	-1.673234814
-0.999998067	-1.661326124	0.999998219	-1.673236742
-1.000000517	-1.661327619	1.000000372	-1.673238112
-1.000002314	-1.661329959	1.000001038	-1.673239312
-1.00001364	-1.661340184	1.000012315	-1.673249591
-1.000036291	-1.661360634	1.000034868	-1.673270149
-1.000081592	-1.661401533	1.000079974	-1.673311263
-1.000262778	-1.661565103	1.000170184	-1.673393486
-1.000625106	-1.661892159	1.000350592	-1.673557912
-1.002073142	-1.663198639	1.001071897	-1.674215178
-1.004966405	-1.665806208	1.002513788	-1.675528369
-1.016454587	-1.676121471	1.008260123	-1.680752622
-1.039225629	-1.696375458	1.019703418	-1.691111307
-1.062147187	-1.716506002	1.042381506	-1.71145472
-1.085197791	-1.736494932	1.065222163	-1.73170556
-1.108382274	-1.75630566	1.088162013	-1.751802222
-1.13179224	-1.775967053	1.111294431	-1.77173378
-1.155349367	-1.795447936	1.134638303	-1.791486755
-1.179012934	-1.814754365	1.158100213	-1.811059243
-1.2028417	-1.833926994	1.181680567	-1.830480036
-1.226793523	-1.852926833	1.205412138	-1.849772534
-1.250860201	-1.871722504	1.229249874	-1.86889057
-1.275129279	-1.890400817	1.253259056	-1.887841963
-1.299513367	-1.908910072	1.277434367	-1.906649575
-1.324019339	-1.927220081	1.30169815	-1.925300537
-1.348715458	-1.945364358	1.326073306	-1.943804446
-1.373547869	-1.963284484	1.350564115	-1.96217899
-1.390747198	-1.975525313	1.367501478	-1.974763244
-1.402300837	-1.983687777	1.378872585	-1.98315699
-1.410040573	-1.989128932	1.386486411	-1.988759856
-1.415215603	-1.9927548	1.391576721	-1.992502328
-1.418672489	-1.995171287	1.394974876	-1.995000094
-1.420980163	-1.996781923	1.397242382	-1.996666519
-1.422519993	-1.997855517	1.398754978	-1.997778025
-1.423547163	-1.998571172	1.399763789	-1.998519277
-1.424232218	-1.999048241	1.400436513	-1.999013556
-1.424689043	-1.999366273	1.400885078	-1.999343125
-1.424993648	-1.999578287	1.401184158	-1.999562859
-1.425196742	-1.999719626	1.401383561	-1.999709358
-1.425332149	-1.999813851	1.401516503	-1.999807029
-1.425422425	-1.999876668	1.401605135	-1.999872144
-1.425482611	-1.999918545	1.401664224	-1.999915556
-1.425522737	-1.999946463	1.401703617	-1.999944497
-1.425549487	-1.999965075	1.40172988	-1.999963791
-1.425567321	-1.999977483	1.401747388	-1.999976654
-1.42557921	-1.999985755	1.401759061	-1.999985229
-1.425587136	-1.999991269	1.401766842	-1.999990946
-1.425592421	-1.999994946	1.40177203	-1.999994758
-1.425595943	-1.999997397	1.401775488	-1.999997298
-1.425598292	-1.999999031	1.401777794	-1.999998992
-1.425599858	-2.00000012	1.401779331	-2.000000122
-1.425601423	-2.000001209	1.401780868	-2.000001251
-1.425607686	-2.000005566	1.401783942	-2.000003509
-1.425632737	-2.000022995	1.401790091	-2.000008027
-1.425732936	-2.000092703	1.401802388	-2.000017061
-1.426133674	-2.000371441	1.401851574	-2.000053196
-1.438865988	-2.00918298	1.401949943	-2.000125463
-1.464207773	-2.026454567	1.402736518	-2.00070327
