 Sw H + Iono O	South to North 	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-4.06E-08	-0.465119105	-2.73E-07	-0.423777061
2.78E-08	-0.465119196	-1.31E-07	-0.423777402
-5.54E-08	-0.465119435	-5.71E-08	-0.423777578
3.84E-08	-0.465119556	-8.78E-08	-0.423777945
6.28E-08	-0.465119838	6.21E-08	-0.423778174
-4.33E-08	-0.465119977	-1.21E-07	-0.423778683
-3.48E-07	-0.465121021	8.80E-08	-0.423778987
2.88E-07	-0.465121536	1.19E-07	-0.42377951
3.69E-07	-0.465123383	-8.52E-08	-0.423779819
-2.96E-07	-0.465123987	-3.60E-08	-0.423779937
-3.29E-07	-0.465125753	-3.31E-07	-0.423780889
2.64E-07	-0.465126291	2.64E-07	-0.423781616
2.71E-07	-0.465127809	3.51E-07	-0.423783168
-2.05E-07	-0.46512832	-2.72E-07	-0.423783978
-2.18E-07	-0.465129519	-2.74E-07	-0.423785347
1.69E-07	-0.465129911	2.16E-07	-0.423785958
2.07E-07	-0.465130968	2.51E-07	-0.423787134
-1.61E-07	-0.465131333	-1.99E-07	-0.42378769
-2.74E-07	-0.465132545	-2.10E-07	-0.423788715
2.14E-07	-0.46513303	1.58E-07	-0.423789223
2.36E-07	-0.465134301	7.02E-08	-0.423789432
-1.75E-07	-0.465134764	2.93E-07	-0.423790368
-1.98E-07	-0.465135819	-2.32E-07	-0.42379102
1.51E-07	-0.465136189	-2.46E-07	-0.42379222
1.94E-07	-0.465137156	1.84E-07	-0.423792815
-1.49E-07	-0.46513751	3.06E-07	-0.423794057
-1.71E-07	-0.465138411	-2.47E-07	-0.42379471
1.26E-07	-0.465138751	-2.70E-07	-0.423796008
5.48E-08	-0.465138968	2.18E-07	-0.423796586
7.96E-08	-0.465139344	2.21E-07	-0.423797687
-5.61E-08	-0.465139515	-1.68E-07	-0.423798212
-8.62E-08	-0.465139912	-1.99E-07	-0.423799135
6.01E-08	-0.4651401	1.46E-07	-0.423799633
3.55E-07	-0.465141213	1.74E-07	-0.423800436
-2.93E-07	-0.465141743	-1.30E-07	-0.423800857
-3.04E-07	-0.465143436	-1.74E-07	-0.423801624
2.50E-07	-0.465143898	1.32E-07	-0.423802037
1.18E-07	-0.465144304	1.57E-07	-0.423802764
1.54E-07	-0.465145066	-1.15E-07	-0.423803156
-1.13E-07	-0.465145374	-2.70E-07	-0.423804137
2.05E-07	-0.465146373	2.20E-07	-0.423804704
-1.57E-07	-0.465146753	3.33E-07	-0.423806104
-1.83E-07	-0.465147712	-2.69E-07	-0.423806819
1.34E-07	-0.465148078	-2.96E-07	-0.423808237
2.98E-07	-0.46514927	2.38E-07	-0.423808872
-2.43E-07	-0.465149738	2.42E-07	-0.423810077
-2.61E-07	-0.465151164	-1.84E-07	-0.423810653
2.12E-07	-0.465151576	-1.94E-07	-0.423811602
2.13E-07	-0.465152782	1.50E-07	-0.423812049
-1.63E-07	-0.465153177	3.83E-07	-0.423813413
-1.90E-07	-0.465154173	-3.13E-07	-0.423814216
1.40E-07	-0.465154555	-3.34E-07	-0.42381584
6.07E-08	-0.465154796	2.72E-07	-0.423816544
3.49E-07	-0.465155896	2.89E-07	-0.423817951
-2.78E-07	-0.465156485	-2.22E-07	-0.423818623
-1.33E-07	-0.465156927	-1.02E-07	-0.423818911
-1.54E-07	-0.465157736	-3.10E-07	-0.423819967
1.13E-07	-0.465158044	2.44E-07	-0.423820662
1.49E-07	-0.46515878	1.16E-07	-0.423820971
-1.07E-07	-0.465159092	2.65E-07	-0.423821942
-4.54E-08	-0.46515928	-2.08E-07	-0.423822541
-1.86E-08	-0.465159361	-2.26E-07	-0.42382363
3.72E-08	-0.46515952	1.68E-07	-0.42382418
3.74E-07	-0.465160401	7.43E-08	-0.423824405
-3.14E-07	-0.465160923	1.04E-07	-0.423824856
-3.41E-07	-0.465162776	-7.39E-08	-0.423825126
2.72E-07	-0.465163342	-3.10E-08	-0.423825229
3.07E-07	-0.465164978	-3.20E-07	-0.42382614
-2.45E-07	-0.465165484	2.55E-07	-0.42382684
-3.15E-07	-0.465167059	3.37E-07	-0.423828332
2.44E-07	-0.465167626	-2.61E-07	-0.423829109
2.46E-07	-0.465169015	-2.63E-07	-0.423830422
-1.94E-07	-0.465169436	2.07E-07	-0.423831008
-4.10E-07	-0.465171103	2.41E-07	-0.423832135
3.34E-07	-0.465171748	-1.91E-07	-0.423832668
3.59E-07	-0.465173709	-8.60E-08	-0.423832919
-2.92E-07	-0.465174278	-1.23E-07	-0.423833447
-2.94E-07	-0.465175939	8.84E-08	-0.42383376
2.24E-07	-0.465176484	-1.68E-07	-0.423834489
2.97E-07	-0.465177947	1.25E-07	-0.423834898
-2.39E-07	-0.465178431	1.57E-07	-0.423835609
-4.19E-07	-0.465180257	-1.14E-07	-0.423836007
3.39E-07	-0.465180924	-3.19E-07	-0.423837114
3.69E-07	-0.465182927	2.61E-07	-0.42383778
-2.98E-07	-0.465183517	2.77E-07	-0.423839131
-3.02E-07	-0.46518522	-2.26E-07	-0.423839713
2.30E-07	-0.465185784	-1.05E-07	-0.423840003
2.41E-07	-0.465187117	-3.91E-07	-0.423841278
-1.87E-07	-0.465187546	3.21E-07	-0.423842085
-2.27E-07	-0.465188712	3.38E-07	-0.423843738
1.77E-07	-0.465189109	-2.76E-07	-0.423844442
1.94E-07	-0.465190158	-2.76E-07	-0.423845827
-1.44E-07	-0.465190536	2.12E-07	-0.423846472
-2.63E-07	-0.465191665	2.17E-07	-0.423847549
2.13E-07	-0.465192084	-1.70E-07	-0.42384804
2.32E-07	-0.465193343	-3.87E-07	-0.42384946
-1.78E-07	-0.465193766	3.15E-07	-0.423850273
-2.22E-07	-0.465194893	3.38E-07	-0.423851912
1.72E-07	-0.46519529	-2.74E-07	-0.423852626
1.93E-07	-0.465196322	-2.76E-07	-0.423854006
-1.43E-07	-0.465196702	2.11E-07	-0.423854657
-6.26E-08	-0.465196947	9.57E-08	-0.423854933
-3.15E-07	-0.465197963	3.22E-07	-0.423856004
2.50E-07	-0.465198495	-2.54E-07	-0.423856723
2.63E-07	-0.465199949	-1.20E-07	-0.423857043
-1.98E-07	-0.465200455	-1.42E-07	-0.423857704
-2.16E-07	-0.465201624	1.04E-07	-0.42385806
1.66E-07	-0.465202018	1.39E-07	-0.423858673
4.69E-07	-0.465203751	-9.94E-08	-0.423859031
-3.83E-07	-0.465204475	-3.40E-07	-0.423860158
-4.07E-07	-0.465206713	2.79E-07	-0.423860861
3.32E-07	-0.465207349	2.94E-07	-0.423862298
1.66E-07	-0.465207857	-2.40E-07	-0.423862912
1.78E-07	-0.465208829	-2.40E-07	-0.423864116
-1.33E-07	-0.465209172	1.84E-07	-0.423864678
-1.65E-07	-0.465210011	2.12E-07	-0.423865675
1.20E-07	-0.46521035	-1.56E-07	-0.423866202
3.28E-07	-0.465211575	-1.82E-07	-0.423867054
-2.68E-07	-0.465212082	1.38E-07	-0.423867492
-2.85E-07	-0.465213647	4.78E-07	-0.423869072
2.32E-07	-0.465214092	-3.92E-07	-0.423870061
2.33E-07	-0.465215411	-4.13E-07	-0.423872084
-1.78E-07	-0.465215839	3.38E-07	-0.423872946
-2.07E-07	-0.465216925	1.69E-07	-0.42387335
1.52E-07	-0.465217338	2.48E-07	-0.423874405
1.78E-07	-0.46521827	-1.92E-07	-0.423874974
-1.34E-07	-0.46521861	-2.14E-07	-0.423875996
-1.77E-07	-0.465219485	1.59E-07	-0.423876523
