 Sw H + Iono O	South to North 	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
2.39E-07	-0.466747132	2.37E-08	-0.42534688
-1.88E-07	-0.466747538	9.62E-09	-0.425346914
-2.85E-07	-0.466748863	1.80E-08	-0.425346985
2.21E-07	-0.466749364	-1.22E-08	-0.425347034
2.22E-07	-0.466750627	-4.90E-09	-0.425347051
-1.76E-07	-0.466750998	-9.43E-09	-0.425347088
-2.02E-07	-0.466752069	6.33E-09	-0.425347113
1.53E-07	-0.466752447	-1.27E-08	-0.425347163
1.99E-07	-0.46675344	8.49E-09	-0.425347197
-1.52E-07	-0.466753802	3.41E-09	-0.425347209
-1.77E-07	-0.466754734	6.67E-09	-0.425347235
1.30E-07	-0.466755084	-4.46E-09	-0.425347253
2.85E-07	-0.466756229	-1.79E-09	-0.42534726
-2.32E-07	-0.46675667	-3.64E-07	-0.425348217
-3.57E-07	-0.466758318	2.92E-07	-0.425348999
2.88E-07	-0.466758885	1.42E-07	-0.425349362
3.16E-07	-0.4667606	6.27E-08	-0.425349554
-2.55E-07	-0.466761103	9.42E-08	-0.425349953
-2.99E-07	-0.466762672	-6.70E-08	-0.425350195
2.31E-07	-0.466763207	1.29E-07	-0.425350748
2.34E-07	-0.466764532	-9.50E-08	-0.425351068
-1.84E-07	-0.46676493	-1.26E-07	-0.425351627
-2.15E-07	-0.466766062	9.01E-08	-0.425351948
1.70E-07	-0.466766424	3.82E-08	-0.425352073
2.48E-07	-0.466767598	6.04E-08	-0.425352324
-1.92E-07	-0.466768035	-4.19E-08	-0.425352484
-2.14E-07	-0.466769189	-6.85E-08	-0.425352765
1.59E-07	-0.466769607	4.73E-08	-0.425352947
3.10E-07	-0.466770908	1.94E-08	-0.425353014
-2.52E-07	-0.466771392	3.46E-08	-0.425353152
-2.72E-07	-0.466772881	-2.35E-08	-0.425353245
2.21E-07	-0.466773308	-9.54E-09	-0.425353279
2.23E-07	-0.466774571	-3.84E-09	-0.425353293
-1.70E-07	-0.466774981	7.68E-09	-0.425353322
-1.99E-07	-0.466776026	3.24E-07	-0.42535415
1.46E-07	-0.466776424	-2.71E-07	-0.425354784
1.73E-07	-0.466777328	-2.75E-07	-0.425356159
-1.30E-07	-0.466777657	2.16E-07	-0.425356771
-1.73E-07	-0.466778512	2.53E-07	-0.425357957
1.32E-07	-0.466778832	-2.00E-07	-0.425358516
1.56E-07	-0.466779646	-2.13E-07	-0.425359557
-1.14E-07	-0.466779957	1.59E-07	-0.425360068
-4.94E-08	-0.466780156	2.67E-07	-0.425361152
-7.31E-08	-0.4667805	-2.16E-07	-0.425361716
5.13E-08	-0.466780657	-2.36E-07	-0.425362855
7.99E-08	-0.466781024	1.81E-07	-0.425363402
-5.56E-08	-0.466781198	2.27E-07	-0.425364433
-2.30E-08	-0.466781298	-1.75E-07	-0.425364951
-3.98E-08	-0.466781474	-3.21E-07	-0.425366217
2.72E-08	-0.466781563	2.51E-07	-0.425366943
3.21E-07	-0.466782487	2.51E-07	-0.425368208
-2.67E-07	-0.46678295	-2.00E-07	-0.425368755
-3.32E-07	-0.466784642	-3.84E-07	-0.425370245
2.66E-07	-0.466785179	3.29E-07	-0.425370948
2.97E-07	-0.466786777	1.65E-07	-0.425371346
-2.38E-07	-0.466787256	3.47E-07	-0.425372653
-2.44E-07	-0.466788631	-2.82E-07	-0.425373377
1.85E-07	-0.466789088	-3.04E-07	-0.425374854
1.97E-07	-0.466790174	2.46E-07	-0.425375492
-1.52E-07	-0.466790525	2.48E-07	-0.425376737
-1.87E-07	-0.466791483	-1.89E-07	-0.425377318
1.39E-07	-0.466791843	-2.51E-07	-0.425378434
-2.43E-07	-0.46679306	2.02E-07	-0.425378972
1.89E-07	-0.466793488	2.24E-07	-0.425380047
2.10E-07	-0.466794622	-1.71E-07	-0.42538057
-1.56E-07	-0.466795032	-2.17E-07	-0.425381553
-6.85E-08	-0.466795301	1.67E-07	-0.425382051
-2.86E-08	-0.466795425	3.19E-07	-0.425383293
5.67E-08	-0.466795673	-2.49E-07	-0.425384013
3.59E-07	-0.466796465	-1.17E-07	-0.425384334
-3.04E-07	-0.46679695	-5.03E-08	-0.425384495
-3.13E-07	-0.466798707	-8.01E-08	-0.425384826
2.50E-07	-0.466799223	5.62E-08	-0.425385035
2.83E-07	-0.466800734	-1.10E-07	-0.425385495
-2.26E-07	-0.466801197	7.93E-08	-0.425385774
-2.94E-07	-0.466802663	1.12E-07	-0.425386259
2.28E-07	-0.466803185	-7.94E-08	-0.425386549
1.05E-07	-0.466803563	-3.33E-08	-0.42538666
1.32E-07	-0.466804232	-1.36E-08	-0.425386708
-9.53E-08	-0.4668045	2.72E-08	-0.425386815
-1.32E-07	-0.46680514	3.42E-07	-0.425387639
9.40E-08	-0.466805419	-2.87E-07	-0.425388302
3.96E-08	-0.466805586	-2.89E-07	-0.425389755
1.62E-08	-0.466805659	2.28E-07	-0.425390396
-3.23E-08	-0.466805797	2.65E-07	-0.425391643
-3.83E-07	-0.466806713	-2.10E-07	-0.425392226
3.21E-07	-0.466807242	-2.22E-07	-0.425393315
3.53E-07	-0.466809158	1.67E-07	-0.425393847
-2.82E-07	-0.466809735	7.42E-08	-0.425394071
-3.18E-07	-0.466811437	3.11E-07	-0.425395064
2.54E-07	-0.466811955	-2.46E-07	-0.425395748
2.62E-07	-0.466813426	-3.54E-07	-0.42539727
-1.98E-07	-0.466813918	2.75E-07	-0.425398077
-2.12E-07	-0.466815085	2.95E-07	-0.425399515
1.64E-07	-0.466815465	-2.35E-07	-0.425400154
2.02E-07	-0.466816499	-2.65E-07	-0.425401418
-1.57E-07	-0.466816853	2.12E-07	-0.425401992
-6.97E-08	-0.466817123	2.19E-07	-0.42540308
-1.04E-07	-0.46681761	-1.66E-07	-0.425403602
7.38E-08	-0.466817826	-7.43E-08	-0.425403824
-1.42E-07	-0.466818485	-1.00E-07	-0.425404266
1.05E-07	-0.466818766	7.16E-08	-0.425404523
1.37E-07	-0.466819447	1.04E-07	-0.425404969
-9.84E-08	-0.46681973	-7.35E-08	-0.425405241
-4.18E-08	-0.466819905	-3.07E-08	-0.425405345
-3.41E-07	-0.466820926	-1.25E-08	-0.425405389
2.71E-07	-0.466821488	2.50E-08	-0.425405487
1.31E-07	-0.466821923	3.54E-07	-0.425406347
5.72E-08	-0.466822149	-2.97E-07	-0.425407035
8.74E-08	-0.466822554	-3.30E-07	-0.425408617
-6.19E-08	-0.466822739	2.64E-07	-0.425409331
1.20E-07	-0.46682329	2.97E-07	-0.425410746
-8.78E-08	-0.466823532	-2.37E-07	-0.425411386
-1.18E-07	-0.466824112	-2.45E-07	-0.425412602
8.45E-08	-0.466824359	1.85E-07	-0.425413184
2.99E-07	-0.466825401	2.79E-07	-0.425414361
-2.45E-07	-0.46682585	-2.25E-07	-0.425414953
-3.45E-07	-0.466827508	-3.80E-07	-0.425416491
2.77E-07	-0.46682806	3.07E-07	-0.425417294
3.07E-07	-0.466829719	3.35E-07	-0.425418915
-2.47E-07	-0.466830209	-2.71E-07	-0.425419625
-2.52E-07	-0.46683163	-2.74E-07	-0.425421
1.91E-07	-0.466832098	2.09E-07	-0.425421645
2.02E-07	-0.466833216	2.19E-07	-0.425422724
-1.56E-07	-0.466833574	-1.70E-07	-0.425423223
-4.03E-07	-0.466835112	-2.06E-07	-0.425424176
3.48E-07	-0.466835606	1.61E-07	-0.42542464
1.76E-07	-0.466836136	7.19E-08	-0.425424857
3.43E-07	-0.466837578	1.06E-07	-0.425425308
-2.79E-07	-0.466838114	-7.55E-08	-0.425425578
-3.02E-07	-0.466839763	1.45E-07	-0.425426202
2.44E-07	-0.466840236	-1.07E-07	-0.425426557
2.73E-07	-0.466841703	-1.39E-07	-0.425427179
-2.10E-07	-0.466842192	9.97E-08	-0.42542753
-2.45E-07	-0.466843481	4.25E-08	-0.425427669
1.96E-07	-0.466843879	1.75E-08	-0.42542773
3.58E-07	-0.466845419	-3.48E-08	-0.425427868
-2.90E-07	-0.46684598	2.37E-08	-0.425427961
-3.15E-07	-0.466847698	-4.73E-08	-0.425428149
2.55E-07	-0.466848193	3.27E-08	-0.425428275
2.57E-07	-0.466849653	5.48E-08	-0.425428497
-1.96E-07	-0.466850128	-3.76E-08	-0.425428643
-8.88E-08	-0.466850459	-3.55E-07	-0.425429664
-3.76E-08	-0.466850617	2.94E-07	-0.425430374
-6.27E-08	-0.466850897	3.72E-07	-0.425432061
4.36E-08	-0.466851034	-2.98E-07	-0.42543286
-8.61E-08	-0.466851415	-3.32E-07	-0.425434453
6.10E-08	-0.466851597	2.67E-07	-0.425435165
2.52E-08	-0.466851707	2.74E-07	-0.425436528
-5.02E-08	-0.466851925	-2.07E-07	-0.425437176
-3.96E-07	-0.466852831	-2.20E-07	-0.425438254
3.34E-07	-0.46685337	1.70E-07	-0.425438759
3.35E-07	-0.466855278	2.09E-07	-0.425439719
-2.80E-07	-0.466855747	-1.63E-07	-0.425440191
-1.35E-07	-0.466856196	-7.23E-08	-0.425440411
-3.77E-07	-0.466857598	-1.07E-07	-0.425440866
3.08E-07	-0.466858172	7.64E-08	-0.42544114
3.27E-07	-0.466859978	-1.47E-07	-0.425441771
-2.67E-07	-0.466860482	1.08E-07	-0.425442132
-2.79E-07	-0.466862035	1.41E-07	-0.425442764
2.15E-07	-0.466862537	-1.01E-07	-0.425443123
9.85E-08	-0.466862896	-4.32E-08	-0.425443264
4.20E-08	-0.46686307	-6.77E-08	-0.425443546
6.88E-08	-0.46686338	4.70E-08	-0.425443724
-4.80E-08	-0.466863529	1.94E-08	-0.425443791
9.45E-08	-0.46686395	3.38E-08	-0.425443926
-6.74E-08	-0.466864148	-2.31E-08	-0.425444017
-9.87E-08	-0.466864614	-4.06E-08	-0.425444179
6.94E-08	-0.466864824	2.76E-08	-0.425444288
3.32E-07	-0.466865908	3.75E-07	-0.425445335
-2.74E-07	-0.466866401	-3.11E-07	-0.425446081
-2.86E-07	-0.466867994	-3.19E-07	-0.425447671
2.34E-07	-0.466868425	2.64E-07	-0.425448315
1.10E-07	-0.466868809	1.25E-07	-0.425448652
3.81E-07	-0.466870147	1.61E-07	-0.425449376
-3.13E-07	-0.466870721	-1.19E-07	-0.425449772
-3.30E-07	-0.46687255	2.14E-07	-0.425450744
2.70E-07	-0.466873053	-1.64E-07	-0.425451241
2.70E-07	-0.466874592	-1.89E-07	-0.425452135
-2.07E-07	-0.46687508	1.39E-07	-0.425452601
-9.47E-08	-0.466875427	3.00E-07	-0.425453725
-2.98E-07	-0.466876499	-2.44E-07	-0.425454352
2.35E-07	-0.466877005	-3.78E-07	-0.425455932
2.51E-07	-0.466878387	3.05E-07	-0.425456734
-1.88E-07	-0.466878868	3.34E-07	-0.425458348
-2.07E-07	-0.466879992	-2.70E-07	-0.425459058
1.59E-07	-0.46688037	-2.74E-07	-0.42546043
4.67E-07	-0.466882082	2.08E-07	-0.425461076
-3.82E-07	-0.466882792	2.93E-07	-0.425462347
-4.05E-07	-0.466885032	-2.35E-07	-0.425462971
3.31E-07	-0.466885655	-2.60E-07	-0.425464223
1.65E-07	-0.466886165	2.09E-07	-0.425464778
7.41E-08	-0.466886446	2.14E-07	-0.425465845
1.07E-07	-0.466886956	-1.62E-07	-0.42546635
-7.69E-08	-0.466887177	-1.93E-07	-0.425467249
1.46E-07	-0.466887864	1.41E-07	-0.42546773
-1.09E-07	-0.466888148	3.39E-07	-0.425468959
-3.29E-07	-0.466889345	-2.76E-07	-0.425469663
2.59E-07	-0.466889904	-2.96E-07	-0.425471107
1.23E-07	-0.466890326	2.40E-07	-0.425471725
5.33E-08	-0.46689054	2.41E-07	-0.425472939
8.33E-08	-0.466890923	-1.84E-07	-0.425473503
-5.87E-08	-0.4668911	-8.39E-08	-0.425473747
1.15E-07	-0.466891621	-1.09E-07	-0.425474236
-8.31E-08	-0.466891854	7.85E-08	-0.425474513
-3.48E-08	-0.466892003	1.12E-07	-0.425474996
6.90E-08	-0.466892308	-7.90E-08	-0.425475285
3.92E-07	-0.466893152	-3.31E-08	-0.425475396
-3.32E-07	-0.466893677	-1.35E-08	-0.425475444
-3.36E-07	-0.466895581	2.70E-08	-0.42547555
2.68E-07	-0.466896135	3.50E-07	-0.425476394
3.04E-07	-0.466897757	-2.93E-07	-0.425477072
-2.43E-07	-0.466898255	-2.96E-07	-0.425478557
-2.52E-07	-0.466899662	2.33E-07	-0.425479211
1.90E-07	-0.466900135	2.71E-07	-0.425480486
2.92E-07	-0.466901484	-2.15E-07	-0.425481082
-2.35E-07	-0.466901947	-3.05E-07	-0.4254824
-2.58E-07	-0.466903349	2.36E-07	-0.425483095
2.08E-07	-0.46690376	2.38E-07	-0.42548429
2.12E-07	-0.466904957	-1.88E-07	-0.425484813
-1.61E-07	-0.46690535	-3.87E-07	-0.425486281
-1.91E-07	-0.466906346	3.14E-07	-0.425487091
1.40E-07	-0.466906728	3.39E-07	-0.425488741
1.67E-07	-0.466907597	-2.75E-07	-0.425489453
-1.25E-07	-0.466907915	-3.04E-07	-0.425490915
-4.67E-07	-0.466909525	2.34E-07	-0.425491615
3.84E-07	-0.466910225	2.38E-07	-0.425492804
4.04E-07	-0.466912466	-1.87E-07	-0.425493334
-3.30E-07	-0.466913079	-2.20E-07	-0.425494362
-3.31E-07	-0.466914964	1.73E-07	-0.425494847
2.54E-07	-0.466915562	1.85E-07	-0.425495751
3.08E-07	-0.466917152	-1.38E-07	-0.425496195
-2.46E-07	-0.46691765	-1.71E-07	-0.425496979
-2.75E-07	-0.466919132	1.24E-07	-0.425497409
2.21E-07	-0.466919577	3.35E-07	-0.425498588
2.75E-07	-0.466920979	-2.74E-07	-0.425499281
-2.13E-07	-0.466921469	-2.92E-07	-0.425500709
-2.15E-07	-0.466922688	2.38E-07	-0.425501315
1.69E-07	-0.466923052	1.10E-07	-0.425501624
3.61E-07	-0.466924521	4.13E-07	-0.425502973
-2.94E-07	-0.466925081	-3.39E-07	-0.425503818
-3.16E-07	-0.466926817	-3.57E-07	-0.425505575
2.57E-07	-0.46692731	2.92E-07	-0.425506311
2.58E-07	-0.466928779	2.92E-07	-0.425507783
-1.97E-07	-0.466929254	-2.24E-07	-0.42550846
-2.61E-07	-0.466930546	-2.72E-07	-0.425509716
2.10E-07	-0.466930966	2.18E-07	-0.425510301
3.68E-07	-0.466932578	2.44E-07	-0.425511468
-2.98E-07	-0.466933157	-1.95E-07	-0.425511991
-3.25E-07	-0.466934927	-2.01E-07	-0.42551299
2.62E-07	-0.466935439	1.52E-07	-0.425513466
2.99E-07	-0.466937032	1.82E-07	-0.425514312
-2.31E-07	-0.466937568	-1.33E-07	-0.425514766
-2.67E-07	-0.46693898	-5.75E-08	-0.42551495
2.14E-07	-0.466939414	-8.60E-08	-0.425515314
2.39E-07	-0.4669407	6.03E-08	-0.425515539
-1.92E-07	-0.466941089	3.15E-07	-0.425516511
-2.42E-07	-0.466942314	-2.60E-07	-0.425517149
1.87E-07	-0.466942745	-3.47E-07	-0.425518688
2.11E-07	-0.466943874	2.79E-07	-0.42551943
-1.56E-07	-0.466944287	3.09E-07	-0.425520915
-6.83E-08	-0.466944558	-2.49E-07	-0.425521577
-9.81E-08	-0.466945025	-2.54E-07	-0.425522845
6.93E-08	-0.466945233	1.93E-07	-0.425523446
3.09E-07	-0.466946255	2.79E-07	-0.425524643
-2.54E-07	-0.466946713	-2.25E-07	-0.425525237
-3.46E-07	-0.466948402	-2.48E-07	-0.42552643
2.78E-07	-0.466948956	1.99E-07	-0.425526958
3.08E-07	-0.466950619	9.15E-08	-0.42552722
-2.47E-07	-0.466951113	1.26E-07	-0.425527771
-2.99E-07	-0.46695266	-9.13E-08	-0.425528087
2.31E-07	-0.466953194	1.71E-07	-0.425528842
1.07E-07	-0.466953579	-1.29E-07	-0.425529248
1.34E-07	-0.466954259	-1.56E-07	-0.425529969
-9.71E-08	-0.466954533	1.14E-07	-0.425530358
-4.16E-08	-0.466954705	2.88E-07	-0.425531387
-6.39E-08	-0.466955	-2.35E-07	-0.425531982
4.46E-08	-0.466955138	-2.51E-07	-0.425533207
1.83E-08	-0.46695522	1.93E-07	-0.425533782
-3.64E-08	-0.466955376	2.38E-07	-0.425534875
-3.98E-07	-0.466956321	-1.85E-07	-0.425535415
3.34E-07	-0.466956868	-2.05E-07	-0.425536401
3.65E-07	-0.466958855	1.52E-07	-0.4255369
-2.92E-07	-0.466959452	1.72E-07	-0.425537721
-3.28E-07	-0.466961211	-1.31E-07	-0.425538126
2.63E-07	-0.466961746	-4.16E-07	-0.425539533
2.71E-07	-0.466963267	3.41E-07	-0.425540387
-2.05E-07	-0.466963776	3.61E-07	-0.425542158
-3.10E-07	-0.466965219	-2.94E-07	-0.425542904
2.50E-07	-0.466965712	-3.02E-07	-0.425544407
2.75E-07	-0.466967201	2.32E-07	-0.425545105
-2.21E-07	-0.466967638	2.37E-07	-0.425546287
-1.02E-07	-0.466968007	-1.86E-07	-0.425546817
-1.39E-07	-0.466968686	-4.18E-07	-0.425548361
1.01E-07	-0.466968969	3.40E-07	-0.425549233
-1.89E-07	-0.466969873	3.66E-07	-0.425551015
1.43E-07	-0.466970228	-2.97E-07	-0.42555178
1.73E-07	-0.46697112	-2.99E-07	-0.425553282
-1.26E-07	-0.466971467	2.28E-07	-0.42555398
-5.43E-08	-0.466971688	2.99E-07	-0.425555316
-2.24E-08	-0.466971786	-2.40E-07	-0.425555956
4.47E-08	-0.46697198	-2.67E-07	-0.425557237
3.55E-07	-0.466972793	2.14E-07	-0.425557808
-3.00E-07	-0.466973276	9.81E-08	-0.42555809
-3.00E-07	-0.466974987	1.36E-07	-0.425558683
2.38E-07	-0.46697549	-9.83E-08	-0.425559023
2.74E-07	-0.466976942	1.84E-07	-0.425559837
-2.18E-07	-0.466977396	-1.39E-07	-0.425560276
-2.28E-07	-0.466978665	-1.69E-07	-0.425561054
1.72E-07	-0.466979097	1.23E-07	-0.425561477
1.86E-07	-0.466980115	5.30E-08	-0.425561646
-1.43E-07	-0.46698045	3.46E-07	-0.425562681
-4.01E-07	-0.466981941	-2.75E-07	-0.425563437
3.27E-07	-0.466982551	-1.32E-07	-0.425563784
3.48E-07	-0.466984473	-5.78E-08	-0.425563965
-2.84E-07	-0.466985009	-8.87E-08	-0.425564337
-2.84E-07	-0.466986629	6.28E-08	-0.425564566
2.18E-07	-0.466987146	-1.22E-07	-0.425565082
9.92E-08	-0.466987512	8.89E-08	-0.425565386
3.22E-07	-0.466988662	3.74E-08	-0.425565511
-2.54E-07	-0.466989208	-7.39E-08	-0.425565815
-1.21E-07	-0.466989621	-3.87E-07	-0.425566634
-5.24E-08	-0.466989831	3.28E-07	-0.425567367
-8.18E-08	-0.466990207	3.28E-07	-0.425569022
5.76E-08	-0.466990381	-2.62E-07	-0.425569736
-1.12E-07	-0.466990893	-2.97E-07	-0.425571147
8.16E-08	-0.466991121	2.37E-07	-0.42557179
1.13E-07	-0.466991667	2.46E-07	-0.425573008
-8.00E-08	-0.466991904	-1.85E-07	-0.425573594
-3.08E-07	-0.466992956	-2.86E-07	-0.425574791
2.53E-07	-0.466993416	2.30E-07	-0.425575397
3.51E-07	-0.466995115	2.53E-07	-0.425576619
-2.82E-07	-0.466995677	-2.04E-07	-0.425577156
-3.12E-07	-0.466997367	-9.38E-08	-0.425577424
2.51E-07	-0.466997867	-1.29E-07	-0.425577987
3.03E-07	-0.466999435	9.34E-08	-0.425578309
-2.34E-07	-0.466999974	-1.74E-07	-0.425579081
-2.65E-07	-0.46700139	1.31E-07	-0.425579495
2.12E-07	-0.467001822	1.59E-07	-0.42558023
3.90E-07	-0.467003499	-1.16E-07	-0.425580626
-3.16E-07	-0.46700411	-5.00E-08	-0.425580786
-3.44E-07	-0.467005987	-7.51E-08	-0.425581104
2.78E-07	-0.467006527	5.26E-08	-0.4255813
2.81E-07	-0.467008121	8.27E-08	-0.425581644
-2.14E-07	-0.467008639	-5.75E-08	-0.425581862
-2.24E-07	-0.467009885	-2.37E-08	-0.425581944
1.74E-07	-0.467010278	-9.62E-09	-0.425581978
4.31E-07	-0.467011944	1.92E-08	-0.425582053
-3.52E-07	-0.467012606	3.72E-07	-0.425582975
-3.76E-07	-0.467014677	-3.11E-07	-0.425583699
3.06E-07	-0.467015258	-3.15E-07	-0.425585278
3.07E-07	-0.467017007	2.48E-07	-0.425585976
-2.35E-07	-0.467017568	2.89E-07	-0.425587335
-2.43E-07	-0.467018928	-2.29E-07	-0.425587971
1.90E-07	-0.467019351	-3.30E-07	-0.425589389
2.27E-07	-0.467020531	2.56E-07	-0.425590139
-1.78E-07	-0.467020919	2.57E-07	-0.425591432
-1.93E-07	-0.467021974	-2.03E-07	-0.425591997
1.44E-07	-0.467022345	-2.34E-07	-0.425593103
6.36E-08	-0.467022593	1.86E-07	-0.425593616
2.66E-08	-0.467022707	1.96E-07	-0.425594579
1.08E-08	-0.467022756	-1.47E-07	-0.425595047
2.02E-08	-0.467022842	-1.80E-07	-0.425595875
-1.36E-08	-0.467022888	1.31E-07	-0.425596326
-3.71E-07	-0.467023902	3.41E-07	-0.425597537
3.09E-07	-0.467024431	-2.79E-07	-0.425598244
3.16E-07	-0.467026213	-2.97E-07	-0.425599698
-2.61E-07	-0.467026673	2.42E-07	-0.425600317
-1.24E-07	-0.467027098	1.12E-07	-0.425600632
-1.59E-07	-0.467027898	4.23E-07	-0.425602012
1.17E-07	-0.467028211	-3.48E-07	-0.425602876
-2.11E-07	-0.46702925	-3.65E-07	-0.425604676
1.62E-07	-0.467029631	2.99E-07	-0.425605428
3.25E-07	-0.467030984	2.99E-07	-0.425606936
-2.54E-07	-0.467031547	-2.30E-07	-0.425607628
-1.19E-07	-0.467031964	-2.35E-07	-0.4256088
-5.14E-08	-0.467032174	1.84E-07	-0.425609326
-8.17E-08	-0.467032546	4.18E-07	-0.425610866
5.73E-08	-0.467032721	-3.40E-07	-0.425611736
-1.12E-07	-0.467033228	-3.65E-07	-0.425613517
8.10E-08	-0.467033459	2.97E-07	-0.425614281
1.14E-07	-0.467034008	2.98E-07	-0.425615782
-8.08E-08	-0.467034248	-2.28E-07	-0.425616478
-3.35E-07	-0.467035374	-2.98E-07	-0.425617812
2.75E-07	-0.467035873	2.40E-07	-0.425618451
3.78E-07	-0.467037714	2.66E-07	-0.425619729
-3.04E-07	-0.46703832	-2.14E-07	-0.425620298
-3.37E-07	-0.467040141	-9.79E-08	-0.425620579
2.71E-07	-0.46704068	-1.35E-07	-0.425621171
2.77E-07	-0.467042241	9.81E-08	-0.425621511
-2.10E-07	-0.467042756	-1.84E-07	-0.425622322
-2.22E-07	-0.467043986	1.38E-07	-0.42562276
1.72E-07	-0.467044379	1.69E-07	-0.425623537
4.45E-07	-0.467046075	-1.23E-07	-0.425623958
-3.63E-07	-0.467046755	-5.29E-08	-0.425624128
-3.88E-07	-0.467048892	-7.97E-08	-0.425624465
3.15E-07	-0.467049489	5.58E-08	-0.425624673
3.34E-07	-0.467051338	3.03E-07	-0.425625602
-2.57E-07	-0.467051938	-2.50E-07	-0.425626214
-2.62E-07	-0.467053418	-2.60E-07	-0.425627503
2.06E-07	-0.467053866	2.03E-07	-0.425628092
2.42E-07	-0.467055135	2.44E-07	-0.425629223
-1.91E-07	-0.467055544	-1.91E-07	-0.425629769
-2.85E-07	-0.46705688	-3.07E-07	-0.425631037
2.21E-07	-0.46705738	2.39E-07	-0.425631732
2.35E-07	-0.467058678	1.11E-07	-0.425632042
-1.87E-07	-0.467059062	4.78E-08	-0.425632196
-2.11E-07	-0.467060194	7.66E-08	-0.425632512
1.61E-07	-0.467060584	-5.37E-08	-0.425632712
2.07E-07	-0.467061622	1.05E-07	-0.42563315
-1.59E-07	-0.467061994	-7.57E-08	-0.425633418
-1.82E-07	-0.46706296	-3.16E-08	-0.425633525
1.34E-07	-0.467063318	6.26E-08	-0.425633778
5.85E-08	-0.467063552	3.99E-07	-0.425634658
8.49E-08	-0.467063955	-3.37E-07	-0.425635418
-5.98E-08	-0.467064135	-3.37E-07	-0.425637118
-9.19E-08	-0.46706456	2.68E-07	-0.425637856
6.41E-08	-0.467064759	3.06E-07	-0.425639307
2.66E-08	-0.467064875	-2.44E-07	-0.425639973
4.56E-08	-0.467065076	-3.29E-07	-0.425641425
-3.12E-08	-0.467065178	2.55E-07	-0.425642176
-1.27E-08	-0.467065235	2.56E-07	-0.425643465
-2.33E-08	-0.467065335	-2.03E-07	-0.425644031
1.58E-08	-0.467065388	-2.35E-07	-0.425645136
3.15E-07	-0.467066261	1.86E-07	-0.425645651
-2.62E-07	-0.467066711	8.40E-08	-0.425645898
-2.68E-07	-0.467068222	1.20E-07	-0.425646416
2.10E-07	-0.467068683	-8.62E-08	-0.425646719
2.49E-07	-0.467069983	1.63E-07	-0.425647432
-1.96E-07	-0.467070405	-1.22E-07	-0.425647827
-2.97E-07	-0.467071787	-1.53E-07	-0.425648523
2.31E-07	-0.467072309	1.11E-07	-0.425648908
1.07E-07	-0.46707269	4.74E-08	-0.425649062
4.60E-08	-0.467072879	7.27E-08	-0.425649367
7.40E-08	-0.467073215	-5.08E-08	-0.425649558
-5.18E-08	-0.467073374	-2.97E-07	-0.425650457
1.02E-07	-0.467073832	2.45E-07	-0.425651056
-7.31E-08	-0.467074042	2.55E-07	-0.425652316
-1.04E-07	-0.467074541	-1.98E-07	-0.425652892
7.38E-08	-0.467074762	-2.39E-07	-0.425653997
3.09E-08	-0.467074895	1.87E-07	-0.425654531
5.11E-08	-0.467075124	2.98E-07	-0.425655765
-3.52E-08	-0.467075236	-2.32E-07	-0.425656442
-3.01E-07	-0.467076133	-1.08E-07	-0.425656743
2.50E-07	-0.46707657	-4.64E-08	-0.425656892
2.58E-07	-0.467078016	-7.45E-08	-0.4256572
-2.01E-07	-0.467078462	5.22E-08	-0.425657394
-2.40E-07	-0.467079713	-1.02E-07	-0.42565782
1.89E-07	-0.467080123	7.36E-08	-0.42565808
2.04E-07	-0.46708124	3.07E-08	-0.425658184
-1.52E-07	-0.467081631	-6.09E-08	-0.425658431
-6.73E-08	-0.467081893	-3.88E-07	-0.425659287
-9.40E-08	-0.467082347	3.28E-07	-0.425660026
6.67E-08	-0.467082544	3.28E-07	-0.425661681
9.96E-08	-0.467083011	-2.61E-07	-0.425662399
-6.98E-08	-0.467083225	-2.98E-07	-0.425663811
-2.91E-08	-0.467083351	2.37E-07	-0.42566446
-4.91E-08	-0.467083569	2.48E-07	-0.425665684
3.37E-08	-0.467083678	-1.87E-07	-0.425666275
1.38E-08	-0.467083739	-8.34E-08	-0.425666525
2.50E-08	-0.467083847	-3.51E-08	-0.425666643
-1.69E-08	-0.467083904	6.93E-08	-0.425666927
3.38E-08	-0.467084049	3.70E-07	-0.425667714
-2.29E-08	-0.467084125	-3.14E-07	-0.425668414
-9.27E-09	-0.467084167	-3.14E-07	-0.425669996
-1.75E-08	-0.467084241	2.50E-07	-0.425670678
1.18E-08	-0.467084281	2.84E-07	-0.425672026
3.66E-07	-0.467085276	-2.26E-07	-0.42567264
-3.05E-07	-0.467085798	-2.98E-07	-0.425673969
-3.67E-07	-0.4670877	2.31E-07	-0.42567465
2.94E-07	-0.467088294	1.07E-07	-0.425674952
3.28E-07	-0.467090061	4.57E-08	-0.4256751
-2.63E-07	-0.467090591	7.40E-08	-0.425675405
-3.29E-07	-0.467092265	-5.18E-08	-0.425675598
2.54E-07	-0.467092849	1.02E-07	-0.425676021
2.57E-07	-0.467094306	-7.29E-08	-0.42567628
-2.02E-07	-0.467094741	-1.05E-07	-0.425676732
-2.36E-07	-0.467095983	7.42E-08	-0.425677004
1.87E-07	-0.467096377	3.10E-08	-0.425677109
8.41E-08	-0.467096694	1.27E-08	-0.425677154
